Job Title,Required Skills
Back-end Developer(Node.js),"Node.js', 'JavaScript', 'RESTful APIs', 'Express.js', 'MongoDB', 'MySQL', 'PostgreSQL', 'Git', 'Docker', 'JWT', 'OAuth', 'AWS', 'CI/CD'"
Back-end Developer (PHP),"PHP', 'Laravel', 'MySQL', 'RESTful APIs', 'Composer', 'Git', 'Apache', 'Nginx', 'Docker', 'AWS'"
Back-end Developer(.NET),"C#', '.NET Core', 'ASP.NET', 'SQL Server', 'RESTful APIs', 'Entity Framework', 'Azure', 'Git', 'Docker'"
Rust Developer,"Rust, Systems Programming, Concurrency, WebAssembly, Linux, Git"
Bun Developer,"Bun, JavaScript, Node.js, Web Development, TypeScript"
Front-end Developer (React),"HTML5, CSS3, JavaScript, React, Redux, TypeScript, Git, AJAX, SASS, Bootstrap, jQuery, GitHub, Material UI, Tailwind CSS"
Front-end Developer (Angular),"HTML5, CSS3, JavaScript, Angular, TypeScript, RxJS, Git, AJAX, SASS, Bootstrap, jQuery, GitHub, Angular Material, Tailwind CSS, NgRx, RESTful APIs, Angular CLI"
Front-end Developer (Vue),"HTML5, CSS3, JavaScript, Vue.js, Vuex, TypeScript, Git, AJAX, SASS, Bootstrap, jQuery, GitHub, Vuetify, Tailwind CSS, Vue Router, RESTful APIs, Vite"
Full-stack Developer,"JavaScript, Node.js, React, MongoDB, Express.js, CSS3, HTML5, Git"
Full-stack Developer,"JavaScript, Node.js, React, MongoDB, Express.js, CSS3, HTML5, Git"
Software Engineer,"C++, Java, Python, Software Design, Algorithms, Data Structures"
Data Scientist,"Python, R, SQL, Machine Learning, Data Analysis, TensorFlow, Pandas"
Machine Learning Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, Keras, Pytorch"
AI Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, Keras, NLP"
Project Manager,"Project Management, Agile, Scrum, Jira, Team Leadership"
DevOps Engineer,"CI/CD, Docker, Kubernetes, AWS, Azure, Linux, Terraform"
Database Administrator,"SQL, Database Design, MySQL, PostgreSQL, Backup Management"
Security Engineer,"Cybersecurity, Penetration Testing, Firewalls, AWS, Encryption"
Cloud Engineer,"AWS, Azure, Google Cloud, DevOps, CI/CD, Linux"
Game Developer,"C++, Unity, Unreal Engine, Game Design, AI Programming"
Mobile Developer,"Android, iOS, React Native, Swift, Kotlin"
UI/UX Designer,"Figma, Sketch, User Research, Wireframing, Prototyping"
QA Engineer,"Test Automation, Selenium, Manual Testing, Jira"
Blockchain Developer,"Blockchain, Ethereum, Smart Contracts, Solidity"
IT Consultant,"IT Strategy, Network Security, Infrastructure Management"
Data Analyst,"SQL, Excel, Data Visualization, Pandas, Power BI"
Network Engineer,"Networking, TCP/IP, Routers, Switches, Firewalls"
Technical Writer,"Technical Writing, Documentation, API Documentation"
Business Analyst,"Business Analysis, Data Analysis, Jira, Agile"
Product Manager,"Product Management, Agile, Scrum, Roadmaps"
Back end (Java),"Java', 'Spring Boot', 'Hibernate', 'SQL', 'JPA', 'RESTful APIs', 'AWS', 'Docker', 'CI/CD'"
Back end (Django),"Python', 'Django', 'RESTful APIs', 'PostgreSQL', 'MySQL', 'Git', 'Docker', 'AWS', 'Celery', 'Gunicorn'"
Back-end Developer (Flask),"'Python', 'Flask', 'SQLAlchemy', 'PostgreSQL', 'MySQL', 'Jinja2', 'Git', 'Docker', 'AWS'"
Back-end Developer (Go),"Go', 'Golang', 'RESTful APIs', 'Docker', 'Kubernetes', 'MySQL', 'PostgreSQL', 'Redis', 'AWS'"
